step,loss,grad_norm_unclipped
237000,1e-06,1.1e-05
238000,0.0,7e-06
239000,0.0,5e-06
240000,0.0,5e-06
241000,0.0,5e-06
242000,0.0,4e-06
243000,1.1e-05,6e-05
244000,4e-06,2.8e-05
245000,5.2e-05,0.005675
246000,5.1e-05,0.000828
247000,1e-06,1.7e-05
248000,1e-06,1.1e-05
249000,1e-06,1e-05
250000,0.0,9e-06
251000,0.0,9e-06
252000,0.0,6e-06
253000,0.0,6e-06
254000,0.0,6e-06
255000,7e-06,6e-05
256000,1e-06,7e-06
257000,0.0,9e-06
258000,0.0,4e-06
259000,0.0,1.6e-05
260000,0.0,4e-06
261000,0.0,6e-06
262000,0.0,4e-06
263000,0.0,1.3e-05
264000,0.0,5.4e-05
265000,0.0,2.8e-05
266000,0.0,2.6e-05
267000,0.0,2.6e-05
268000,3e-06,2.1e-05
269000,1e-06,6e-06
270000,0.0,4e-06
271000,0.019274,2.99952
272000,0.0,8e-06
273000,1.1e-05,0.000245
274000,0.0,4e-06
275000,0.0,4e-06
276000,0.0,3e-06
277000,0.0,3e-06
278000,0.0,2e-06
279000,0.0,2e-06
280000,0.0,2e-06
281000,0.0,3e-06
282000,0.0,1.6e-05
283000,0.0,3.3e-05
284000,5.4e-05,0.000562
285000,2e-06,3.8e-05
286000,0.0,7e-06
287000,0.0,6e-06
288000,0.0,3e-06
289000,0.0,3e-06
290000,0.0,2e-06
291000,0.0,1e-06
292000,0.0,2e-06
293000,0.0,1e-06
294000,0.0,3e-06
295000,0.0,4e-06
296000,0.0,1.3e-05
297000,0.0,2.2e-05
298000,1.5e-05,0.000263
299000,1e-06,2.1e-05
300000,2e-06,2.6e-05
301000,3e-06,9.8e-05
302000,6e-06,5e-05
303000,0.0,1.6e-05
304000,0.0,5e-06
305000,0.0,3e-06
306000,0.0,2e-06
307000,0.000204,0.002248
308000,2e-06,2.8e-05
309000,1e-06,1.2e-05
310000,0.0,8e-06
311000,0.0,5e-06
312000,0.0,2.2e-05
313000,0.0,3e-06
314000,0.0,4e-06
315000,0.0,4e-06
316000,3e-06,3.1e-05
317000,0.000906,0.65263
318000,0.0,6e-06
319000,0.0,6e-06
320000,0.0,3e-06
321000,0.000186,0.064159
322000,6.3e-05,0.000667
323000,0.0,4e-06
324000,0.0,3e-06
325000,0.0,3e-06
326000,0.0,2e-06
327000,1e-06,1.5e-05
328000,3e-06,2.3e-05
329000,1e-06,1.1e-05
330000,0.0,5e-06
331000,0.0,4e-06
332000,0.0,7e-06
333000,0.0,3e-06
334000,0.0,7e-06
335000,0.0,1.9e-05
336000,0.0,4e-06
337000,1e-06,1.7e-05
338000,0.0,5e-06
339000,0.0,8e-06
340000,0.000295,0.004822
341000,1e-06,1e-05
342000,0.0,2.6e-05
343000,0.0,5e-06
344000,0.0,5e-06
345000,0.0,3e-06
346000,0.0,3e-06
347000,4e-06,3.3e-05
348000,1e-06,1.7e-05
349000,9e-06,0.000119
